,dataContent,dataSid,dataTitle,parkAddr,parkArea,parkFact1,parkFact2,parkFact3,parkFact4,parkFact5,parkGubun,parkLoadAddr,parkLocation,parkNo,parkNoticeday,parkOrgnm,parkRegdate,parkSido,parkTel,parkZip,posx,posy
0, ,249,추천대공원,전북특별자치도 전주시 덕진구 추천로 82,4780.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 팔복동2가 94-4, ,45113-00111,2019-09-11,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1041980577,35.845709
1, ,248,역사도심공원, ,208.0, , , , , ,소공원,전북특별자치도 전주시 완산구 고사동 324-14, ,45111-00140,2018-04-30,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-220-5438, , ,35.820872
2, ,247,이목대공원, ,264.0, , , , , ,소공원,전북특별자치도 전주시 완산구 교동 54-16, ,45111-00139,2018-12-14,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-220-5438, ,127.1560596,35.8144091
3, ,246,동산구역A, ,1405.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 여의동2가 601-5, ,45113-00110,2017-07-14,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.080703,35.870165
4, ,245,동산구역B, ,499.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 여의동2가 551-3, ,45113-00109,2017-07-14,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0792306,35.8698979
5, ,244,제187호 근린공원, ,5153.0, , , , , ,근린공원,"전북특별자치도 전주시 덕진구 우아동1가 1121, 111-5", ,45113-00108,2016-09-13,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6390, ,127.1760178,35.8255237
6, ,243,에코시티5호, ,11157.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 송천동2가 377-70, ,45113-00107,2016-04-29,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1201996,35.8719799
7, ,242,에코시티 1호공원, ,1500.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 송천동2가 377-66, ,45113-00106,2016-04-29,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1201996,35.8719799
8, ,241,철도178호, ,36018.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 우아동1가 942-1, ,45113-00105,2015-11-27,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1761143,35.8295784
9, ,240,팔복문화공원, ,13242.0, , , , , ,문화공원,전북특별자치도 전주시 덕진구 팔복동1가 243-3, ,45113-00104,2015-11-18,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1009480787,35.861332972
10, ,239,화정공원, ,36819.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 송천동2가 1356, ,45113-00103,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1201996,35.8719799
11, ,238,붓내공원, ,28727.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 송천동2가 1339, ,45113-00102,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1201996,35.8719799
12, ,237,세병공원, ,200481.0, , ,수경설비,"족구장,풋살장,농구장,다목적구장","정자,화장실,벤치",근린공원,전북특별자치도 전주시 덕진구 송천동2가 1316, ,45113-00101,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1201996,35.8719799
13, ,236,백석공원, ,93743.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 송천동2가 1293-86, ,45113-00100,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1201996,35.8719799
14, ,235,에코시티9호, ,1320.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 377-66, ,45113-00099,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.139451,35.871553
15, ,234,에코시티6호, ,1087.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 377-66, ,45113-00098,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.118276, 
16, ,233,에코시티5호, ,1033.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 377-66, ,45113-00097,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.117319,35.876854
17, ,232,에코시티4호, ,993.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 377-66, ,45113-00096,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1158797,35.876414
18, ,231,에코시티3호, ,1037.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 377-66, ,45113-00095,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, , ,35.877129
19, ,230,에코시티2호, ,1041.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 377-66, ,45113-00094,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.114604,35.876016
20, ,229,에코시티1호, ,807.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 377-66, ,45113-00093,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.114373,35.876815
21, ,228,에코시티8호, ,1026.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 1365-4, ,45113-00092,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.139558,35.873445
22, ,227,에코시티7호, ,1444.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 1346, ,45113-00091,2014-02-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.124867,35.879433
23, ,226,송천유남공원, ,1017.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 97-8, ,45113-00090,2013-05-15,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.130367,35.8634308
24, ,225,엽순공원, ,83224.7, , , , , ,근린공원,전북특별자치도 전주시 덕진구 장동 1073-1, ,45113-00089,2012-06-25,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.060326,35.843201
25, ,224,만성지구 2, ,16604.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 만성동 962, ,45113-00088,2011-12-29,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0712343,35.8351751
26, ,223,원장동공원, ,16103.7,"조합놀이대,시소", , ,운동기구,"정자,벤치",근린공원,전북특별자치도 전주시 덕진구 장동 1065, ,45113-00087,2011-12-01,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.055235,35.841451
27, ,222,건산공원,전북특별자치도 전주시 덕진구 건산1길 21-3,1132.9, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 진북동 339-6, ,45113-00086,2011-07-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1425953755,35.8318687
28, ,221,느티나무공원, ,1329.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 진북동 1022-10, ,45113-00084,2011-07-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1349598,35.8283609
29, ,220,오정공원, ,1641.2, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 중동 783-4, ,45113-00083,2011-07-28,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.060655,35.834749
30, ,219,찰방공원, ,1852.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 만성동 1174-3, ,45113-00082,2010-12-16,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.069704,35.833865
31, ,218,서찰방공원, ,327.7, , , , , ,소공원,전북특별자치도 전주시 덕진구 만성동 1168-8, ,45113-00081,2010-12-16,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.067871, 
32, ,217,동산구역, ,2292.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 동산동 571-41, ,45113-00080,2010-03-18,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0792306,35.869925237
33, ,216,만성어린 3, ,2631.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 만성동 398-20, ,45113-00079,2009-12-10,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0783565,35.8451605
34, ,215,종광대, ,765.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 인후동 1가 176-22, ,45113-00078,2009-02-24,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1513332,35.8308589
35, ,214,만성문화, ,18019.0, , , , , ,문화공원,전북특별자치도 전주시 덕진구 만성동 1339-18, ,45113-00077,2008-12-13,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0790932,35.8492274
36, ,213,만성어린 2, ,3137.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 만성동 산 85, ,45113-00076,2008-12-12,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0794203,35.8418104
37, ,212,만성어린 4, ,6895.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 만성동 574, ,45113-00075,2008-12-12,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0759124,35.8378935
38, ,211,만성지구 1, ,58582.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 만성동 458, ,45113-00074,2008-12-12,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0744742,35.841164
39, ,210,만성어린 1, ,1879.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 만성동 240, ,45113-00073,2008-12-12,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0817119,35.8456323
40, ,209,만성수변, ,55047.0, , , , , ,수변공원,전북특별자치도 전주시 덕진구 만성동 1063, ,45113-00072,2008-12-12,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0704111,35.8435031
41, ,208,만성어린 5, ,1514.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 만성동 1028-2, ,45113-00071,2008-12-12,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0719803,35.8398361
42, ,207,중동공원, ,20625.8, , , , , ,근린공원,전북특별자치도 전주시 덕진구 중동 787-11, ,45113-00070,2008-09-10,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.061058,35.833591
43, ,206,정문공원, ,431.5, , , , , ,소공원,전북특별자치도 전주시 덕진구 중동 779-15, ,45113-00069,2008-06-20,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.059737,35.835826
44, ,205,원중공원, ,3987.9, , , , , ,소공원,전북특별자치도 전주시 덕진구 장동 1092-1, ,45113-00068,2008-06-20,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.063676,35.843344
45, ,204,우아구역, ,425.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 우아동 3가 386, ,45113-00067,2008-06-20,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1650066,35.8432098
46, ,203,160호 붓내구역, ,133.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 453-23, ,45113-00066,2008-06-20,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1224970417,35.8687265
47, ,202,179호 붓내구역, ,197.0, , , , , ,소공원,전북특별자치도 전주시 덕진구 송천동 2가 270-5, ,45113-00065,2008-06-20,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1235233,35.8680381
48, ,201,여의공원, ,1496.0, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 반월동 248-6, ,45113-00064,2008-06-20,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.075394,35.8712059
49, ,200,기지재, ,191762.0, , , , , ,수변공원,전북특별자치도 전주시 덕진구 장동 1094, ,45113-00063,2008-03-04,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.066298,35.839791
50, ,199,마당재공원, ,13865.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 인후동1가925, ,45113-00062,2008-03-04,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.162955,35.8232288
51, ,198,기린공원, ,2476835.0, , , , , ,근린공원,전북특별자치도 전주시 덕진구 인후동1가 산153-3, ,45113-00061,2008-03-04,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1692570998,35.8225842435
52, ,197,월방공원, ,1756.8, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 만성동 1194-3, ,45113-00060,2008-03-04,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.071389,35.833273
53, ,196,월방공원, ,6035.2, , , , , ,소공원,전북특별자치도 전주시 덕진구 만성동 1194-3, ,45113-00059,2008-03-04,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.072726, 
54, ,195,월평공원, ,1592.1, , , , , ,어린이공원,전북특별자치도 전주시 덕진구 만성동 1188-6, ,45113-00058,2008-03-04,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.073567,35.835815
55, ,194,여울목공원,전북특별자치도 전주시 덕진구 호반6길 26-5,2515.0,조합놀이대, , , ,벤치,어린이공원,전북특별자치도 전주시 덕진구 덕진동2가 700, ,45113-00057,2005-08-05,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.11866387,35.8522968437
56, ,193,반딧불이공원,전북특별자치도 전주시 덕진구 호반6길 26-5,1791.0,조합놀이대, , , ,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 덕진동2가 679, ,45113-00056,2005-08-05,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.11866387,35.8522968437
57, ,192,쇠똥구리공원,전북특별자치도 전주시 덕진구 호반6길 26-5,1555.0,조합놀이대, , , ,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 덕진동2가 657, ,45113-00055,2005-08-05,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.11866387,35.8522968437
58, ,191,하늘공원, ,25864.0, , , ,"농구대,운동기구","정자,벤치",근린공원,전북특별자치도 전주시 덕진구 덕진동2가 682, ,45113-00054,2005-08-05,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1069502,35.8452358
59, ,190,아중18호공원, ,1500.0, , , ,운동기구,벤치,어린이공원,전북특별자치도 전주시 덕진구 우아동2가 869-2, ,45113-00053,2005-07-29,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1693156,35.8344393
60, ,189,나들목공원, ,56941.0, , , ,운동기구,"화장실,벤치",근린공원,전북특별자치도 전주시 덕진구 용정동 124-41, ,45113-00052,2004-05-21,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0556506,35.8754524
61, ,188,송천유적공원, ,6760.6,조합놀이대, , ,운동기구,"화장실,벤치",어린이공원,전북특별자치도 전주시 덕진구 송천동1가 816-1, ,45113-00051,2004-04-03,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1187477,35.864918
62, ,187,송천제2호공원, ,2004.1,조합놀이대, , ,운동기구,벤치,어린이공원,전북특별자치도 전주시 덕진구 송천동1가 844-8, ,45113-00050,2001-07-23,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1174795,35.8612567
63, ,186,솔내공원, ,2000.0,조합놀이대, , ,"농구대,운동기구","정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 송천동2가 1274, ,45113-00049,1995-12-30,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1268701,35.8668845
64, ,185,붓내공원, ,1650.0,조합놀이대, , ,운동기구,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 송천동2가 1270, ,45113-00048,1995-12-30,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1253815,35.868031
65, ,184,팔복공원,전북특별자치도 전주시 덕진구 서귀로 107,20723.0,"조합놀이대,시소,그네", , ,"족구장,게이트볼구장,농구대,운동기구","정자,화장실,벤치",근린공원,전북특별자치도 전주시 덕진구 팔복동3가 404, ,45113-00047,1994-07-29,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0870282,35.8514420545
66, ,183,아람길공원, ,10066.0, , , ,"족구장,게이트볼구장,운동기구","정자,화장실,벤치",근린공원,전북특별자치도 전주시 덕진구 인후동1가 858-3, ,45113-00046,1993-08-17,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1675625,35.8308192
67, ,182,중상보공원, ,11384.0,조합놀이대, , ,"배구장,축구장,농구대,운동기구","정자,화장실,벤치",근린공원,전북특별자치도 전주시 덕진구 우아동2가 907, ,45113-00045,1993-08-17,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1711276,35.8304932
68, ,181,신덕공원, ,1655.9,조합놀이대, , ,운동기구,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 우아동2가 854-1, ,45113-00044,1993-08-17,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1662817,35.8376161
69, ,180,팔복지구 3호공원, ,7176.0,시소, , ,"회전무대,정글집,농구대,배드민턴장,운동기구","정자,화장실,벤치",근린공원,전북특별자치도 전주시 덕진구 팔복동2가 505, ,45113-00043,1988-12-30,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.0932997859,35.8558168969
70, ,179,팔과공원, ,11512.8,"시소,그네", ,수경설비,"농구대,게이트볼구장","정자,화장실,벤치",근린공원,전북특별자치도 전주시 덕진구 팔복동2가 830-7, ,45113-00042,1986-05-08,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.095419,35.8554553
71, ,178,언덕공원, ,1502.0,조합놀이대, , ,"농구대,운동기구",벤치,어린이공원,전북특별자치도 전주시 덕진구 인후동1가 774-1, ,45113-00041,1985-12-30,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1535205,35.8353115
72, ,177,안골노인복지공원, ,1502.0, , , ,"게이트볼구장,운동기구",벤치,어린이공원,전북특별자치도 전주시 덕진구 인후동1가 764-6, ,45113-00040,1985-12-30,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1571397,35.8381589
73, ,176,안골공원, ,1502.0,"조합놀이대,그네", , ,운동기구,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 753-4, ,45113-00039,1985-12-30,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1570832,35.8407786
74, ,175,북일길공원,전북특별자치도 전주시 덕진구 안골5길 7-4,1502.0,조합놀이대, , ,운동기구,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 우아동3가 756-5, ,45113-00038,1985-12-30,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1551273,35.8429704
75, ,174,문화로공원, ,1500.0,조합놀이대, , ,"농구대,운동기구","정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 951-5, ,45113-00037,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1700718,35.8270853
76, ,173,한범로공원, ,1500.0,"조합놀이대,그네", , ,"농구대,운동기구","정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 943-6, ,45113-00036,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1672959,35.8238151
77, ,172,하평공원, ,1500.0,조합놀이대.그네, , ,"농구대,운동기구","정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 918-2, ,45113-00035,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1655009,35.8280352
78, ,171,가재미공원, ,1500.0,조합놀이대, , ,"농구대,운동기구","정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 906-1, ,45113-00034,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1621407,35.8261569
79, ,170,꿈마을공원, ,2280.0,조합놀이대, , ,운동기구,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 890-2, ,45113-00033,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1668328,35.8303238
80, ,169,구총목공원, ,1500.0,조합놀이대, , ,운동기구,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 882-1, ,45113-00032,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1625277,35.8292439
81, ,168,도란길공원,전북특별자치도 전주시 덕진구 건산로 238,1500.0,"조합놀이대,시소,그네", , ,운동기구,"정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 854-3, ,45113-00031,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1633686,35.8342223
82, ,167,북가재미공원, ,1500.0,조합놀이대, , ,"농구대,운동기구","정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 843-1, ,45113-00030,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1615091,35.8319092
83, ,166,진버들공원, ,2550.0,"조합놀이대,그네", , ,"농구대,운동기구","정자,화장실,벤치",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 802-2, ,45113-00029,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1633275,35.8354955
84, ,165,오동제공원, ,1500.0,"조합놀이대,그네", , ,"농구대,운동기구","정자,벤치",어린이공원,전북특별자치도 전주시 덕진구 우아동2가 910-4, ,45113-00028,1985-07-31,전북특별자치도 전주시 덕진구청,2020-08-31, ,063-270-6389, ,127.1705155,35.8286846
